top - 23:51:35 up  1:13,  3 users,  load average: 0.94, 0.83, 0.82
Tasks: 152 total,   1 running, 151 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6.9 us,  6.9 sy,  0.0 ni, 86.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :    923.2 total,     91.1 free,    192.6 used,    639.5 buff/cache
MiB Swap:    100.0 total,     94.5 free,      5.5 used.    662.2 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  742 pi        20   0   93972  25928  19852 S   5.9   2.7   0:23.14 pcmanfm
31933 pi        20   0   10184   2868   2556 R   5.9   0.3   0:00.04 top
    1 root      20   0   34824   8420   6516 S   0.0   0.9   0:14.16 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu+
    9 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks+
   10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks+
   11 root      20   0       0      0      0 S   0.0   0.0   0:00.71 ksoftirqd+
   12 root      20   0       0      0      0 I   0.0   0.0   0:02.22 rcu_sched
   13 root      rt   0       0      0      0 S   0.0   0.0   0:00.03 migration+
   14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
   16 root      rt   0       0      0      0 S   0.0   0.0   0:00.02 migration+
   17 root      20   0       0      0      0 S   0.0   0.0   0:00.36 ksoftirqd+
   20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
   21 root      rt   0       0      0      0 S   0.0   0.0   0:00.04 migration+
   22 root      20   0       0      0      0 S   0.0   0.0   0:00.60 ksoftirqd+
   25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
   26 root      rt   0       0      0      0 S   0.0   0.0   0:00.02 migration+
   27 root      20   0       0      0      0 S   0.0   0.0   0:00.30 ksoftirqd+
